,battery_voltage,gps_signal_strength,air_traffic_density,wind_speed,warranty_number,temperature,obstacle_density,current_flight_time,time_remaining,battery_temperature,firmware_version,drone_serial_number,battery_charging_pattern,humidity,battery_capacity,battery_charging_history,drone_model_number,payload_type,country,drone_color,manufacturing_date,flight_mode,payload_weight,altitude,speed,manufacturer_name,battery_age,battery_health
0,14.309714016219797,85.1529729399529,0.7865245520124535,5.157675519336271,911,23.320005385769047,0.1176751764672202,15.993428306022466,881.4721854736517,22.640712258492997,v5.0.0,2108,0.6922516802389278,69.60894565497613,4064.030481567893,47.81349733481227,Anafi,2,China,Green,2020-04-12,1,1.5196412291358117,36.43010539025556,11.044858743000455,DJI,8.402621575197383,0.9117532586395052
1,14.772507176531564,74.2232261647748,0.3099163844002098,6.125794966370117,910,18.51941975658953,0.2661850516132121,14.723471397657631,913.7035776857068,30.063512355078,v5.0.0,2796,0.7867923199108303,56.30035263249539,4223.092320125645,53.829385760065406,Phantom 4,1,Japan,Red,2020-12-14,2,1.4871783542246793,43.89001073892694,10.849970777607,DJI,5.852521850634948,0.8295993245979207
2,15.006485796853708,82.87718595112074,0.8078190268139731,5.682203906566746,806,19.66706795448489,0.3027441079246351,16.295377076201383,817.2008072946218,24.009065763488408,v4.1.0,4473,0.4992381593858696,54.20419108546943,3698.952362064874,57.35141960197297,EVO II,2,USA,Blue,2020-09-27,0,1.6903581512039072,38.05237877909714,7.190440462583526,Skydio,4.660462100345977,0.8384487428144418
3,15.374834455462349,76.90380770919316,0.6732577385063786,2.444171603614165,819,19.123088144322168,0.3795335225992623,18.04605971281605,945.372919214349,25.4528463235882,v1.2.3,6285,0.5469204000293054,69.3331215811495,4347.921133163667,38.16635379033544,EVO II,1,China,Black,2020-04-16,1,1.806566228285244,52.20836093892239,11.738752665291216,Skydio,6.504044948822516,0.6794190727569226
4,15.81208116330344,78.36298596814524,0.3196353253217048,4.627559395944146,551,22.57026840298168,0.3010931572308697,14.531693250553328,895.6948018972967,28.586953033188585,v2.0.1,8395,0.3557310169765525,32.68460268232917,4066.017356855253,51.00738981988093,Typhoon H,3,China,Red,2020-03-12,1,1.6373693888269234,73.94357062923825,5.5297519732701454,Yuneec,-0.380326327524136,0.8401457800073852
5,15.647067971685884,80.23802133433459,0.5660950024612389,6.305559098168488,708,21.43065233060133,0.4006776115264188,14.53172608610164,876.5682883379654,24.7051829657553,v3.5.2,6529,0.6007601739173655,47.24587675397547,4021.945281779917,45.99037383610512,Typhoon H,3,USA,Black,2020-07-07,1,1.7023087502340926,34.57915685717591,8.037447022719014,Parrot,0.3538556340985614,0.8631675726684367
6,14.710337600776258,79.40254474136721,0.5603594877926915,5.836080644875859,537,29.531599686266247,0.4211403794218911,18.158425631014783,857.9915523113831,15.910760708350706,v1.2.3,3211,0.6265101197220202,62.42652905265469,3809.683040182228,41.63699393850851,Phantom 4,1,Germany,Black,2020-01-21,1,1.4565191535387172,70.01640995536829,4.002736561306577,DJI,7.230242659148464,0.8976002320366734
7,15.114143868917177,71.61947179253532,0.3445591425127055,3.4362591589055507,599,18.079282508340675,0.369495584744084,16.534869458305817,815.0717560030648,30.202937522767737,v4.1.0,3641,0.1147014814500617,68.38031968035527,3872.632043523603,43.58293570237157,Phantom 4,2,Germany,Black,2020-04-12,1,1.5250809612278269,34.36655855306225,14.675879550888444,Autel,1.53939159401489,0.7450616512170186
8,15.338187794351285,86.90906010581658,0.6246981696658931,5.8318069485288815,692,28.96426138782629,0.2663481214044639,14.061051228130095,854.1935181525438,31.27464414957526,v5.0.0,4228,0.6457030325364538,68.46775986029839,3924.491367068267,54.982056887465696,Anafi,1,Germany,Red,2020-05-01,1,1.797146414719928,33.04745575006231,9.305351518164114,Autel,3.74796607013776,0.9036901265118698
9,15.168896437776752,85.67204609379449,0.4451398162927969,6.82977850360888,901,10.941280870508072,0.330525851396645,16.08512008717193,817.9083386652093,15.844419541997784,v1.2.3,1926,0.7286607197282313,32.769354302245645,3714.829220187129,35.28094790746688,Typhoon H,0,Japan,White,2020-08-02,1,1.6053422920516456,66.37189236686427,16.500652104448935,Skydio,6.62774175472632,0.896165489276346
